brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
ASUS,Celeron,Intel,Celeron Dual,Missing,4,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,23990,26990,11,3.8,15279,1947
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,37990,50990,25,4.3,990,108
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,Casual,14.1,1,No,No,32890,46990,30,3.9,28,4
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42990,57330,25,4.4,158,18
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,54990,70171,21,4.2,116,15
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4,2124,233
HP,15s,AMD,Ryzen 3,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,Yes,41999,48294,13,4.3,3524,432
ASUS,Core,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,34429,49990,31,4.1,37,6
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,41490,54782,24,5,7,5
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3,2080,235
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,53990,70171,23,4.1,206,17
HP,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,37990,46055,17,4.3,2214,241
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,57990,70172,17,4.5,4740,532
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,2,No,Yes,52990,74390,28,4.2,300,24
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181
DELL,Vostro,AMD,Ryzen 3,Missing,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,Yes,35990,50651,28,4.1,59,12
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3
HP,Pavilion,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,67990,78294,13,4.5,108,6
HP,Core,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,39990,50085,20,4.2,273,30
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,85990,92900,7,4.7,6725,629
ASUS,VivoBook,Intel,Pentium Silver,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,29990,38990,23,4,36,3
acer,Aspire,Intel,i5,Missing,5,DDR5,0,0,Missing,32,4,Casual,0,0,No,No,50990,89999,43,4.4,10966,1185
ASUS,VivoBook,Intel,Core i7,10th,16,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,57990,80990,28,4.3,76,9
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42990,49590,13,4.3,681,59
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,31999,38999,17,4,286,19
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,39490,43312,8,4.3,1267,171
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,45490,60371,24,4.3,207,16
MSI,GF63,Intel,Hexa Core,Missing,8,DDR4,256,1024,Windows,64,4,Casual,15.6,2,No,No,55990,72990,23,4.4,2582,272
MSI,GF63,Intel,Core i7,10th,8,DDR4,256,1024,Windows,64,4,Casual,15.6,2,No,No,63990,83990,23,4.3,794,83
ASUS,TUF,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,No,57990,81990,29,4.5,3712,412
ASUS,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,35990,46990,23,4.3,2886,375
Lenovo,Ideapad,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,62300,101390,38,4.4,825,95
realme,Book(Slim),Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,52990,69999,24,4.4,3470,505
acer,Aspire,AMD,Ryzen 3,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,36990,44999,17,4.6,11,2
RedmiBook,15,Intel,Core i3,11th,8,DDR4,256,0,Windows,32,0,ThinNlight,15.6,1,No,No,38990,51999,25,4.3,1063,152
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,32,0,Casual,15.6,1,No,Yes,50990,70990,28,4.3,1188,127
ASUS,Vivobook,Intel,Core i7,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,61990,88990,30,4.5,11,2
MSI,GF65,Intel,Core i7,10th,16,DDR4,1024,0,Windows,64,6,Casual,15.6,2,No,No,84990,123990,31,4.4,498,64
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,39490,49714,20,4.3,34,4
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,55990,81990,31,4.5,23,0
HP,Pavilion,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0
DELL,Vostro,AMD,Ryzen 5,Missing,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,Yes,41990,59580,29,4.3,939,107
Lenovo,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,52990,84890,37,0,0,0
acer,Aspire,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,38990,52999,26,0,0,0
realme,Book,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,46990,54999,14,4.4,6352,1014
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,35990,49990,28,4.4,130,12
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,56990,83890,32,4.5,162,15
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,2,No,Yes,51990,88990,41,4.2,85,4
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,48990,68990,28,4.4,219,27
Lenovo,IdeaPad,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,61990,97890,36,4.2,56,7
DELL,Inspiron,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,49490,66396,25,4,31,3
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,0,No,No,42490,50693,16,4,276,40
acer,Aspire,AMD,,Missing,,,0,0,Missing,32,4,Casual,0,0,No,No,54990,89000,38,4.5,3190,414
ASUS,VivoBook,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,54990,78990,30,4.5,18,3
RedmiBook,15,Intel,Core i3,11th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,No,42990,55999,23,4.3,1063,152
Lenovo,Legion,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,4,Casual,15.6,0,No,No,68500,90890,24,4.5,271,24
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,49970,59808,16,4.5,193,28
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,49490,75390,34,4.3,365,35
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990,57990,25,4.3,30,4
MSI,Modern,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,0,No,No,47990,61990,22,4.6,562,89
HP,Ryzen,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,48990,60959,19,4.4,45,5
ASUS,Core,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,37990,52990,28,4.3,284,39
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5
RedmiBook,Pro,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.2,1708,242
HP,Pavilion,AMD,Ryzen 7,Missing,16,DDR4,256,1024,Windows,64,4,Gaming,15.6,1,No,Yes,75990,93564,18,4.5,1084,123
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,No,38990,60890,35,4.2,33,4
ASUS,VivoBook,Intel,Core i5,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,14,1,Yes,Yes,63990,82990,22,4.6,10,1
ASUS,VivoBook,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,14,1,Yes,Yes,51990,67990,23,4.7,6,2
Lenovo,ThinkPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,65990,78109,15,4.6,17,4
Nokia,PureBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,47990,90000,46,4.4,1119,242
acer,Swift,AMD,Ryzen 5,Missing,8,LPDDR4X,512,0,Windows,64,0,ThinNlight,14,1,No,No,53990,89999,40,4.9,7,0
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,48990,62990,22,4.5,174,30
acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,52990,75999,30,4.2,155,20
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,149990,163900,8,4.8,640,70
acer,Predator,Intel,Core i7,11th,16,DDR4,512,1024,Windows,64,4,Casual,15.6,1,No,No,92990,130990,29,4.5,214,37
ASUS,ASUS,AMD,Ryzen 7,Missing,16,DDR4,512,0,Windows,32,4,Gaming,17.3,0,No,No,76990,106990,28,4.8,22,3
Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,49990,79690,37,0,0,0
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,71990,115990,37,4.4,91,17
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,37990,57990,34,4.2,286,36
ASUS,VivoBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,47990,62990,23,4,35,2
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,4,Gaming,15.6,0,No,No,75990,116990,35,4.5,368,48
Nokia,PureBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,45990,74990,38,4.7,6,1
Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,48490,64290,24,4.3,126,13
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,72990,105990,31,4.5,74,10
ASUS,VivoBook,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,54990,78990,30,4.6,49,6
MSI,Katana,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,76990,106990,28,4.6,75,17
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4
MSI,GF65,Intel,Hexa Core,Missing,16,DDR4,512,0,Windows,64,6,Casual,15.6,2,No,No,76990,106990,28,4.5,298,49
acer,Aspire,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,57990,69999,17,4.6,32,1
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,52990,72990,27,0,0,0
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6,10,5
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,52990,78290,32,4.2,39,5
ASUS,TUF,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,6,Gaming,15.6,1,No,Yes,89990,129990,30,4.6,124,17
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990,57990,25,4.5,40,7
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,125990,142900,11,4.6,399,45
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
MSI,GF63,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,59990,83990,28,4.5,1597,228
MSI,Katana,Intel,i7,Missing,,,0,0,Missing,32,4,Casual,0,0,No,No,86990,117990,26,4.5,218,27
ASUS,Zenbook,Intel,Core i7,11th,16,LPDDR4X,1024,0,Windows,64,2,Casual,14,1,Yes,Yes,104990,146990,28,0,0,0
